"forcename","offencedescription","totaltheftoffenses"
"Warwickshire","Theft from automatic machine or meter","381"
"Cleveland","Attempted burglary in a building other than a dwelling","374"
"Greater Manchester","Attempted Distraction Burglary Residential","373"
"Metropolitan Police","Aggravated Burglary Business and Community","372"
"Leicestershire","Attempted burglary in a building other than a dwelling","372"
"Northumbria","Theft of mail","370"
"Sussex","Aggravated Burglary Residential","365"
"Derbyshire","Attempted burglary in a dwelling","360"
"South Yorkshire","Distraction burglary in a dwelling (outcome only)","358"
"Norfolk","Attempted burglary in a building other than a dwelling","353"
"Durham","Residential burglary of a home","349"
"Dorset","Attempted burglary in a building other than a dwelling","349"
"Northumbria","Attempted burglary in a dwelling","345"
"Avon and Somerset","Distraction burglary in a dwelling (outcome only)","342"
"West Yorkshire","Aggravated burglary in a dwelling (outcome only)","341"
"Norfolk","Theft of mail","340"
"Sussex","Distraction Burglary Residential","334"
"Cumbria","Theft from automatic machine or meter","332"
"Gloucestershire","Attempted burglary in a building other than a dwelling","327"
"Cheshire","Distraction burglary in a dwelling (outcome only)","326"
"Gloucestershire","Theft from automatic machine or meter","326"
"Cambridgeshire","Attempted burglary in a building other than a dwelling","324"
"Thames Valley","Distraction burglary in a dwelling (outcome only)","324"
"Essex","Residential burglary ofÂ unconnected building","323"
"Cambridgeshire","Attempted burglary in a dwelling","322"
"Cheshire","Residential burglary of a home","316"
"Surrey","Distraction Burglary Residential","315"
"London, City of","Theft by an employee","315"
"South Yorkshire","Distraction Burglary Residential","313"
"Thames Valley","Residential burglary ofÂ unconnected building","309"
"North Wales","Attempted burglary in a building other than a dwelling","308"
"Essex","Distraction Burglary Residential","308"
"London, City of","Burglary in a building other than a dwelling","307"
"Gwent","Dishonest use of electricity","302"
"South Wales","Theft of mail","302"
"Durham","Aggravated Burglary Residential","301"
"Avon and Somerset","Dishonest use of electricity","300"
"Surrey","Residential burglary of a home","300"
"Avon and Somerset","Residential burglary ofÂ unconnected building","300"
"Cheshire","Theft of mail","300"
"Gloucestershire","Attempted burglary in a dwelling","297"
"North Yorkshire","Attempted burglary in a building other than a dwelling","296"
"Dyfed-Powys","Attempted burglary in a dwelling (outcome only)","295"
"Leicestershire","Aggravated Burglary Business and Community","294"
"Leicestershire","Distraction burglary in a dwelling (outcome only)","294"
"Humberside","Aggravated Burglary Residential","291"
"Warwickshire","Attempted burglary in a dwelling","290"
"South Yorkshire","Residential burglary ofÂ unconnected building","289"
"Lincolnshire","Residential burglary of a home","284"
"Surrey","Attempted burglary in a building other than a dwelling","284"
"Cambridgeshire","Aggravated Burglary Residential","281"
"Hertfordshire","Residential burglary of a home","281"
"Cleveland","Attempted burglary in a dwelling","279"
"Dorset","Attempted burglary in a dwelling","277"
"Kent","Residential burglary ofÂ unconnected building","277"
"Nottinghamshire","Theft of mail","275"
"Avon and Somerset","Aggravated burglary in a dwelling (outcome only)","275"
"Warwickshire","Attempted burglary in a building other than a dwelling","275"
"Devon and Cornwall","Theft of mail","274"
"Gloucestershire","Residential burglary of a home","274"
"Northamptonshire","Residential burglary of a home","271"
"Wiltshire","Theft of mail","267"
"Devon and Cornwall","Residential burglary of a home","266"
"British Transport Police","Making off without payment","266"
"Hertfordshire","Aggravated Burglary Residential","265"
"South Wales","Residential burglary of a home","262"
"Sussex","Dishonest use of electricity","261"
"Lincolnshire","Dishonest use of electricity","261"
"North Wales","Dishonest use of electricity","261"
"Dorset","Aggravated vehicle taking","258"
"Thames Valley","Dishonest use of electricity","254"
"Lancashire","Residential burglary ofÂ unconnected building","254"
"Kent","Distraction burglary in a dwelling (outcome only)","252"
"Essex","Aggravated burglary in a dwelling (outcome only)","249"
"Lincolnshire","Attempted burglary in a dwelling","245"
"Dyfed-Powys","Theft from automatic machine or meter","243"
"Hampshire","Dishonest use of electricity","243"
"South Wales","Aggravated Burglary Residential","242"
"Essex","Distraction burglary in a dwelling (outcome only)","242"
"Cambridgeshire","Distraction Burglary Residential","242"
"Warwickshire","Dishonest use of electricity","239"
"West Mercia","Residential burglary ofÂ unconnected building","238"
"Suffolk","Attempted burglary in a dwelling","237"
"Gwent","Attempted burglary in a dwelling","236"
"Bedfordshire","Attempted burglary in a building other than a dwelling","235"
"Cambridgeshire","Residential burglary of a home","233"
"Greater Manchester","Aggravated Burglary Business and Community","231"
"Surrey","Aggravated Burglary Residential","231"
"West Mercia","Aggravated Burglary Residential","230"
"West Midlands","Distraction burglary in a dwelling","230"
"Warwickshire","Theft of mail","228"
"Humberside","Residential burglary ofÂ unconnected building","226"
"Cheshire","Dishonest use of electricity","222"
"Derbyshire","Theft of mail","222"
"London, City of","Making off without payment","221"
"South Yorkshire","Theft of mail","221"
"Humberside","Theft of mail","220"
"Warwickshire","Residential burglary of a home","219"
"Norfolk","Dishonest use of electricity","219"
"Humberside","Attempted residential burglary of a home","218"
"Cleveland","Residential burglary ofÂ unconnected building","218"
"Derbyshire","Aggravated Burglary Business and Community","217"
"Northamptonshire","Distraction Burglary Residential","214"
"Northumbria","Residential burglary ofÂ unconnected building","213"
"Greater Manchester","Distraction burglary in a dwelling","213"
"West Mercia","Dishonest use of electricity","212"
"Cumbria","Dishonest use of electricity","211"
"Cumbria","Attempted burglary in a building other than a dwelling","209"
"Staffordshire","Distraction burglary in a dwelling (outcome only)","208"
"Nottinghamshire","Residential burglary ofÂ unconnected building","208"
"Gwent","Residential burglary of a home","207"
"Staffordshire","Distraction Burglary Residential","206"
"Hampshire","Distraction Burglary Residential","205"
"Cambridgeshire","Dishonest use of electricity","205"
"Norfolk","Aggravated Burglary Residential","202"
"Essex","Attempted residential burglary of a home","202"
"North Yorkshire","Attempted burglary in a dwelling","201"
"Metropolitan Police","Aggravated burglary in a dwelling","201"
"Avon and Somerset","Distraction Burglary Residential","201"
"Derbyshire","Distraction burglary in a dwelling (outcome only)","200"
"Dorset","Residential burglary of a home","200"
"North Wales","Residential burglary of a home","199"
"North Wales","Attempted burglary in a dwelling","194"
"Hertfordshire","Residential burglary ofÂ unconnected building","194"
"Cheshire","Aggravated burglary in a dwelling (outcome only)","193"
"Nottinghamshire","Distraction burglary in a dwelling (outcome only)","193"
"Bedfordshire","Aggravated Burglary Residential","191"
"Kent","Distraction Burglary Residential","191"
"Leicestershire","Aggravated burglary in a dwelling (outcome only)","191"
"Northumbria","Aggravated burglary in a dwelling (outcome only)","190"
"West Mercia","Distraction Burglary Residential","190"
"Bedfordshire","Distraction burglary in a dwelling (outcome only)","189"
"Merseyside","Attempted residential burglary of a home","188"
"Leicestershire","Distraction Burglary Residential","187"
"Humberside","Distraction burglary in a dwelling (outcome only)","186"
"West Yorkshire","Distraction burglary in a dwelling","184"
"Cleveland","Attempted residential burglary of a home","183"
"Kent","Attempted residential burglary of a home","183"
"Bedfordshire","Dishonest use of electricity","179"
"Derbyshire","Distraction Burglary Residential","179"
"North Yorkshire","Theft of mail","179"
"Gloucestershire","Theft of mail","178"
"Bedfordshire","Residential burglary of a home","178"
"West Midlands","Aggravated burglary in a dwelling (outcome only)","176"
"Lancashire","Aggravated burglary in a dwelling (outcome only)","176"
"Greater Manchester","Residential burglary ofÂ unconnected building","175"
"Lancashire","Distraction Burglary Residential","175"
"Sussex","Distraction burglary in a dwelling (outcome only)","173"
"Staffordshire","Aggravated Burglary Residential","173"
"Humberside","Distraction Burglary Residential","168"
"Thames Valley","Aggravated burglary in a dwelling (outcome only)","166"
"Cleveland","Theft of mail","165"
"Norfolk","Attempted burglary in a dwelling","164"
"North Wales","Theft of mail","164"
"Durham","Attempted burglary in a dwelling","163"
"Surrey","Theft from automatic machine or meter","162"
"Nottinghamshire","Attempted residential burglary of a home","162"
"Northumbria","Attempted residential burglary of a home","162"
"North Yorkshire","Residential burglary of a home","161"
"Wiltshire","Attempted burglary in a dwelling","161"
"Northamptonshire","Distraction burglary in a dwelling (outcome only)","160"
"Devon and Cornwall","Dishonest use of electricity","160"
"Gwent","Theft of mail","160"
"Lincolnshire","Aggravated Burglary Residential","160"
"West Midlands","Aggravated Burglary Business and Community","159"
"Dorset","Aggravated Burglary Residential","158"
"Hampshire","Distraction burglary in a dwelling (outcome only)","158"
"Cambridgeshire","Residential burglary ofÂ unconnected building","158"
"Thames Valley","Attempted residential burglary of a home","158"
"Derbyshire","Attempted residential burglary of a home","157"
"West Mercia","Distraction burglary in a dwelling (outcome only)","156"
"London, City of","Attempted Burglary Business and Community","154"
"Bedfordshire","Distraction Burglary Residential","154"
"Suffolk","Aggravated Burglary Residential","153"
"Dyfed-Powys","Dishonest use of electricity","153"
"Warwickshire","Aggravated Burglary Residential","152"
"Lincolnshire","Theft of mail","152"
"Hertfordshire","Distraction burglary in a dwelling (outcome only)","152"
"Lancashire","Attempted residential burglary of a home","149"
"Norfolk","Residential burglary of a home","148"
"Merseyside","Residential burglary ofÂ unconnected building","148"
"West Mercia","Attempted residential burglary of a home","148"
"Cleveland","Distraction Burglary Residential","148"
"Sussex","Residential burglary ofÂ unconnected building","145"
"Lincolnshire","Residential burglary ofÂ unconnected building","144"
"South Wales","Distraction burglary in a dwelling (outcome only)","143"
"Greater Manchester","Aggravated burglary in a dwelling","142"
"Lancashire","Distraction burglary in a dwelling (outcome only)","142"
"Staffordshire","Attempted residential burglary of a home","141"
"Northamptonshire","Dishonest use of electricity","141"
"Suffolk","Dishonest use of electricity","140"
"Northamptonshire","Attempted residential burglary of a home","139"
"Hertfordshire","Distraction Burglary Residential","138"
"Merseyside","Distraction Burglary Residential","136"
"Hertfordshire","Dishonest use of electricity","135"
"Northamptonshire","Aggravated Burglary Residential","134"
"Sussex","Aggravated Burglary Business and Community","133"
"Sussex","Aggravated burglary in a dwelling (outcome only)","133"
"Suffolk","Residential burglary of a home","133"
"Gwent","Aggravated Burglary Residential","132"
"Cumbria","Residential burglary of a home","132"
"Staffordshire","Residential burglary ofÂ unconnected building","130"
"London, City of","Theft from automatic machine or meter","129"
"South Wales","Aggravated burglary in a dwelling (outcome only)","129"
"North Wales","Aggravated Burglary Residential","128"
"Avon and Somerset","Distraction burglary in a dwelling","128"
"Wiltshire","Residential burglary of a home","127"
"Nottinghamshire","Distraction Burglary Residential","126"
"Dorset","Residential burglary ofÂ unconnected building","126"
"Hampshire","Attempted residential burglary of a home","125"
"Leicestershire","Attempted residential burglary of a home","125"
"Hampshire","Aggravated burglary in a dwelling (outcome only)","124"
"Leicestershire","Residential burglary ofÂ unconnected building","124"
"Surrey","Dishonest use of electricity","123"
"Gloucestershire","Residential burglary ofÂ unconnected building","122"
"Nottinghamshire","Aggravated burglary in a dwelling (outcome only)","122"
"South Wales","Distraction Burglary Residential","122"
"Lincolnshire","Distraction Burglary Residential","121"
"Gloucestershire","Distraction burglary in a dwelling (outcome only)","120"
"Metropolitan Police","Aggravated burglary in a building other than a dwelling(outcome only)","119"
"Derbyshire","Residential burglary ofÂ unconnected building","119"
"South Yorkshire","Distraction burglary in a dwelling","118"
"Surrey","Residential burglary ofÂ unconnected building","117"
"North Yorkshire","Aggravated Burglary Residential","117"
"Wiltshire","Distraction burglary in a dwelling (outcome only)","114"
"Merseyside","Distraction burglary in a dwelling (outcome only)","114"
"Northamptonshire","Residential burglary ofÂ unconnected building","114"
"Thames Valley","Attempted Distraction Burglary Residential","113"
"Gloucestershire","Aggravated Burglary Residential","112"
"Avon and Somerset","Attempted residential burglary of a home","112"
"Wiltshire","Distraction Burglary Residential","111"
"Kent","Aggravated burglary in a dwelling (outcome only)","111"
"Surrey","Distraction burglary in a dwelling (outcome only)","111"
"Northumbria","Distraction Burglary Residential","111"
"South Yorkshire","Aggravated burglary in a dwelling (outcome only)","110"
"Sussex","Attempted residential burglary of a home","110"
"Kent","Distraction burglary in a dwelling","109"
"Devon and Cornwall","Aggravated burglary in a dwelling (outcome only)","108"
"West Yorkshire","Attempted residential burglary ofÂ unconnected building","108"
"Dyfed-Powys","Attempted burglary in a building other than a dwelling","107"
"Cheshire","Attempted residential burglary of a home","106"
"West Midlands","Attempted Distraction Burglary Residential","106"
"South Wales","Attempted residential burglary of a home","105"
"Cumbria","Aggravated Burglary Residential","105"
"Suffolk","Residential burglary ofÂ unconnected building","105"
"North Yorkshire","Dishonest use of electricity","105"
"Durham","Theft of mail","104"
"Cambridgeshire","Distraction burglary in a dwelling (outcome only)","103"
"Surrey","Attempted residential burglary of a home","102"
"Metropolitan Police","Aggravated burglary - residential (home)","101"
"London, City of","Blackmail","100"
"Metropolitan Police","Attempted residential burglary ofÂ unconnected building","100"
"Cleveland","Distraction burglary in a dwelling (outcome only)","98"
"Gwent","Residential burglary ofÂ unconnected building","96"
"Durham","Residential burglary ofÂ unconnected building","96"
"Devon and Cornwall","Distraction burglary in a dwelling (outcome only)","95"
"Humberside","Aggravated burglary in a dwelling (outcome only)","95"
"Cheshire","Distraction Burglary Residential","92"
"Hampshire","Attempted residential burglary ofÂ unconnected building","92"
"London, City of","Interfering with a motor vehicle","92"
"West Yorkshire","Aggravated Burglary Business and Community","92"
"Dorset","Distraction Burglary Residential","92"
"Cleveland","Aggravated burglary in a dwelling (outcome only)","90"
"Cheshire","Residential burglary ofÂ unconnected building","89"
"Dorset","Aggravated burglary in a dwelling (outcome only)","88"
"Devon and Cornwall","Residential burglary ofÂ unconnected building","88"
"Lancashire","Aggravated Burglary Business and Community","87"
"Warwickshire","Distraction burglary in a dwelling (outcome only)","87"
"Cambridgeshire","Aggravated burglary in a dwelling (outcome only)","87"
"Surrey","Attempted Distraction Burglary Residential","86"
"Wiltshire","Residential burglary ofÂ unconnected building","86"
"Devon and Cornwall","Attempted residential burglary of a home","85"
"Northumbria","Distraction burglary in a dwelling (outcome only)","85"
"Thames Valley","Distraction burglary in a dwelling","85"
"Wiltshire","Dishonest use of electricity","84"
"London, City of","Burglary Residential","84"
"Warwickshire","Distraction Burglary Residential","83"
"Cumbria","Theft of mail","82"
"Norfolk","Residential burglary ofÂ unconnected building","81"
"Cambridgeshire","Attempted residential burglary of a home","81"
"British Transport Police","Attempted burglary in a building other than a dwelling (outcome only)","80"
"Merseyside","Aggravated Burglary Business and Community","80"
"Metropolitan Police","Attempted distraction burglary in a dwelling","80"
"Hertfordshire","Attempted residential burglary of a home","79"
"London, City of","Theft of mail","79"
"Staffordshire","Distraction burglary in a dwelling","79"
"Gloucestershire","Dishonest use of electricity","79"
"Hampshire","Aggravated Burglary Business and Community","79"
"Sussex","Attempted Distraction Burglary Residential","79"
"Suffolk","Distraction Burglary Residential","78"
"West Yorkshire","Attempted Distraction Burglary Residential","78"
"Warwickshire","Residential burglary ofÂ unconnected building","78"
"Lincolnshire","Aggravated burglary in a dwelling (outcome only)","76"
"Dyfed-Powys","Residential burglary of a home","75"
"Thames Valley","Aggravated burglary in a building other than a dwelling(outcome only)","75"
"Wiltshire","Aggravated Burglary Residential","74"
"Thames Valley","Attempted distraction burglary in a dwelling (outcome only)","74"
"Dyfed-Powys","Aggravated Burglary Residential","74"
"Greater Manchester","Aggravated burglary - residential (home)","73"
"Gwent","Attempted residential burglary of a home","73"
"Sussex","Distraction burglary in a dwelling","73"
"Gwent","Distraction burglary in a dwelling (outcome only)","72"
"Cumbria","Attempted burglary in a dwelling","72"
"Nottinghamshire","Distraction burglary in a dwelling","72"
"Gloucestershire","Distraction Burglary Residential","70"
"Metropolitan Police","Distraction burglary - residential (home)","70"
"Bedfordshire","Residential burglary ofÂ unconnected building","69"
"Warwickshire","Attempted residential burglary of a home","69"
"Hertfordshire","Distraction burglary in a dwelling","68"
"Norfolk","Distraction Burglary Residential","68"
"North Yorkshire","Aggravated burglary in a dwelling (outcome only)","67"
"Suffolk","Aggravated burglary in a dwelling (outcome only)","67"
"Surrey","Distraction burglary in a dwelling","67"
"London, City of","Attempted burglary in a building other than a dwelling (outcome only)","67"
"South Wales","Residential burglary ofÂ unconnected building","67"
"West Midlands","Attempted residential burglary ofÂ unconnected building","67"
"Surrey","Aggravated burglary in a dwelling (outcome only)","66"
"Durham","Aggravated burglary in a dwelling (outcome only)","65"
"Gwent","Distraction Burglary Residential","65"
"Hertfordshire","Aggravated burglary in a dwelling (outcome only)","64"
"Dyfed-Powys","Theft of mail","64"
"North Yorkshire","Residential burglary ofÂ unconnected building","63"
"Durham","Attempted residential burglary of a home","63"
"Leicestershire","Distraction burglary in a dwelling","63"
"Essex","Attempted residential burglary ofÂ unconnected building","62"
"Avon and Somerset","Aggravated Burglary Business and Community","62"
"West Yorkshire","Attempted distraction burglary in a dwelling (outcome only)","62"
"Merseyside","Aggravated burglary in a dwelling","62"
"North Yorkshire","Distraction burglary in a dwelling (outcome only)","61"
"Gloucestershire","Attempted residential burglary of a home","61"
"Gloucestershire","Aggravated Burglary Business and Community","60"
"Essex","Aggravated Burglary Business and Community","60"
"North Yorkshire","Distraction Burglary Residential","60"
"Lincolnshire","Attempted residential burglary of a home","60"
"Humberside","Distraction burglary in a dwelling","59"
"Lancashire","Distraction burglary in a dwelling","59"
"Wiltshire","Attempted distraction burglary in a dwelling (outcome only)","58"
"Dorset","Distraction burglary in a dwelling (outcome only)","57"
"British Transport Police","Attempted burglary in a building other than a dwelling","57"
"North Wales","Distraction Burglary Residential","57"
"Dorset","Dishonest use of electricity","56"
"Norfolk","Aggravated burglary in a dwelling (outcome only)","56"
"Cambridgeshire","Aggravated Burglary Business and Community","56"
"Kent","Aggravated Burglary Business and Community","56"
"Bedfordshire","Attempted residential burglary of a home","56"
"Derbyshire","Aggravated burglary in a dwelling (outcome only)","56"
"Avon and Somerset","Attempted distraction burglary in a dwelling (outcome only)","55"
"Warwickshire","Aggravated burglary in a dwelling (outcome only)","54"
"West Mercia","Distraction burglary in a dwelling","54"
"Staffordshire","Aggravated burglary in a dwelling (outcome only)","54"
"Nottinghamshire","Attempted Distraction Burglary Residential","54"
"West Mercia","Aggravated burglary in a dwelling (outcome only)","54"
"Greater Manchester","Aggravated burglary in a building other than a dwelling(outcome only)","54"
"Cleveland","Attempted residential burglary ofÂ unconnected building","53"
"Essex","Distraction burglary in a dwelling","53"
"Humberside","Attempted residential burglary ofÂ unconnected building","53"
"Durham","Distraction burglary in a dwelling (outcome only)","53"
"Bedfordshire","Aggravated burglary in a dwelling (outcome only)","52"
"Dyfed-Powys","Attempted burglary in a dwelling","52"
"London, City of","Burglary in a dwelling(outcome only)","52"
"Cheshire","Aggravated burglary in a dwelling","51"
"Thames Valley","Attempted residential burglary ofÂ unconnected building","51"
"Cheshire","Distraction burglary in a dwelling","51"
"West Midlands","Aggravated burglary - residential (home)","50"
"Gwent","Aggravated burglary in a dwelling (outcome only)","50"
"West Yorkshire","Aggravated burglary - residential (home)","49"
"Staffordshire","Attempted Distraction Burglary Residential","49"
"Avon and Somerset","Aggravated burglary in a building other than a dwelling(outcome only)","49"
"Avon and Somerset","Attempted residential burglary ofÂ unconnected building","49"
"North Wales","Distraction burglary in a dwelling (outcome only)","48"
"London, City of","Theft in a dwelling other than from an automatic machine or meter","48"
"Leicestershire","Attempted Distraction Burglary Residential","47"
"Surrey","Aggravated Burglary Business and Community","46"
"Derbyshire","Distraction burglary in a dwelling","46"
"West Midlands","Distraction burglary - residential (home)","45"
"Dyfed-Powys","Residential burglary ofÂ unconnected building","45"
"North Wales","Residential burglary ofÂ unconnected building","45"
"South Wales","Aggravated burglary in a dwelling","45"
"South Yorkshire","Attempted residential burglary ofÂ unconnected building","45"
"Greater Manchester","Attempted residential burglary ofÂ unconnected building","45"
"Lancashire","Attempted residential burglary ofÂ unconnected building","44"
"Kent","Attempted residential burglary ofÂ unconnected building","43"
"Cambridgeshire","Distraction burglary in a dwelling","42"
"Northumbria","Attempted residential burglary ofÂ unconnected building","42"
"Avon and Somerset","Aggravated burglary in a dwelling","42"
"Northamptonshire","Aggravated burglary in a dwelling (outcome only)","42"
"Gloucestershire","Aggravated burglary in a dwelling (outcome only)","42"
"North Wales","Aggravated burglary in a dwelling (outcome only)","41"
"West Yorkshire","Aggravated burglary in a dwelling","41"
"West Midlands","Aggravated burglary in a dwelling","41"
"Greater Manchester","Attempted distraction burglary in a dwelling (outcome only)","41"
"Cleveland","Aggravated Burglary Business and Community","41"
"Essex","Aggravated burglary in a dwelling","41"
"West Mercia","Aggravated Burglary Business and Community","40"
"Merseyside","Aggravated burglary in a building other than a dwelling(outcome only)","39"
"Wiltshire","Aggravated burglary in a dwelling (outcome only)","39"
"Cumbria","Distraction Burglary Residential","38"
"Suffolk","Distraction burglary in a dwelling (outcome only)","38"
"Hampshire","Distraction burglary in a dwelling","38"
"Lincolnshire","Distraction burglary in a dwelling (outcome only)","38"
"Durham","Distraction Burglary Residential","37"
"Merseyside","Attempted Distraction Burglary Residential","36"
"Norfolk","Distraction burglary in a dwelling (outcome only)","36"
"Bedfordshire","Distraction burglary in a dwelling","36"
"Durham","Attempted residential burglary ofÂ unconnected building","35"
"Devon and Cornwall","Aggravated Burglary Business and Community","35"
"South Yorkshire","Attempted Distraction Burglary Residential","35"
"Cumbria","Aggravated burglary in a dwelling (outcome only)","35"
"South Wales","Distraction burglary in a dwelling","35"
"South Yorkshire","Aggravated Burglary Business and Community","35"
"Avon and Somerset","Attempted Distraction Burglary Residential","35"
"Cleveland","Aggravated burglary - residential (home)","35"
"North Wales","Attempted residential burglary of a home","34"
"Northamptonshire","Attempted Distraction Burglary Residential","34"
"British Transport Police","Aggravated vehicle taking","34"
"West Midlands","Attempted distraction burglary in a dwelling (outcome only)","34"
"Thames Valley","Aggravated Burglary Business and Community","34"
"North Yorkshire","Attempted residential burglary of a home","33"
"Devon and Cornwall","Distraction burglary in a dwelling","33"
"Cumbria","Attempted residential burglary of a home","33"
"Lancashire","Aggravated burglary - residential (home)","32"
"Hampshire","Attempted Distraction Burglary Residential","32"
"Sussex","Aggravated burglary in a dwelling","31"
"Gloucestershire","Distraction burglary in a dwelling","31"
"Northamptonshire","Aggravated Burglary Business and Community","31"
"Warwickshire","Distraction burglary in a dwelling","30"
"Wiltshire","Attempted residential burglary of a home","30"
"Northumbria","Aggravated burglary in a dwelling","29"
"Lancashire","Aggravated burglary in a dwelling","29"
"Cumbria","Residential burglary ofÂ unconnected building","29"
"Norfolk","Attempted residential burglary of a home","28"
"Gwent","Attempted Distraction Burglary Residential","28"
"Northamptonshire","Distraction burglary in a dwelling","28"
"Nottinghamshire","Aggravated Burglary Business and Community","28"
"Nottinghamshire","Aggravated burglary - residential (home)","28"
"Dorset","Distraction burglary in a dwelling","28"
"Derbyshire","Attempted Distraction Burglary Residential","28"
"Devon and Cornwall","Distraction Burglary Residential","28"
"Essex","Attempted Distraction Burglary Residential","27"
"Staffordshire","Attempted distraction burglary in a dwelling (outcome only)","27"
"Sussex","Attempted residential burglary ofÂ unconnected building","27"
"Leicestershire","Aggravated burglary in a dwelling","27"
"Humberside","Aggravated burglary in a dwelling","27"
"Warwickshire","Aggravated Burglary Business and Community","26"
"London, City of","Attempted burglary in a building other than a dwelling","26"
"Cambridgeshire","Attempted Distraction Burglary Residential","26"
"Kent","Aggravated burglary - residential (home)","25"
"Bedfordshire","Aggravated Burglary Business and Community","25"
"Surrey","Aggravated burglary in a dwelling","25"
"Northamptonshire","Attempted distraction burglary in a dwelling (outcome only)","25"
"Suffolk","Attempted residential burglary of a home","24"
"Staffordshire","Attempted residential burglary ofÂ unconnected building","24"
"Avon and Somerset","Aggravated burglary - residential (home)","24"
"Devon and Cornwall","Aggravated burglary in a dwelling","24"
"Essex","Aggravated burglary - residential (home)","24"
"Lincolnshire","Distraction burglary in a dwelling","23"
"Norfolk","Aggravated Burglary Business and Community","23"
"London, City of","Burglary in a dwelling","23"
"Surrey","Attempted residential burglary ofÂ unconnected building","23"
"South Wales","Attempted Distraction Burglary Residential","23"
"West Mercia","Attempted residential burglary ofÂ unconnected building","23"
"Northamptonshire","Attempted residential burglary ofÂ unconnected building","23"
"West Mercia","Attempted Distraction Burglary Residential","23"
"Metropolitan Police","Aggravated burglary in a building other than a dwelling","22"
"Kent","Attempted Distraction Burglary Residential","22"
"Hampshire","Aggravated burglary in a building other than a dwelling(outcome only)","22"
"Leicestershire","Aggravated burglary in a building other than a dwelling(outcome only)","22"
"Cheshire","Aggravated Burglary Business and Community","22"
"West Yorkshire","Aggravated burglary in a building other than a dwelling(outcome only)","22"
"Derbyshire","Attempted residential burglary ofÂ unconnected building","22"
"Cleveland","Distraction burglary in a dwelling","22"
"Hampshire","Attempted distraction burglary in a dwelling (outcome only)","22"
"Cumbria","Distraction burglary in a dwelling (outcome only)","22"
"Hampshire","Aggravated burglary in a dwelling","21"
"Cambridgeshire","Attempted residential burglary ofÂ unconnected building","21"
"North Yorkshire","Distraction burglary in a dwelling","21"
"Merseyside","Attempted residential burglary ofÂ unconnected building","20"
"Lancashire","Attempted Distraction Burglary Residential","20"
"Northumbria","Distraction burglary in a dwelling","20"
"Lancashire","Aggravated burglary in a building other than a dwelling(outcome only)","20"
"Nottinghamshire","Attempted residential burglary ofÂ unconnected building","20"
"Dyfed-Powys","Attempted residential burglary of a home","20"
"Humberside","Attempted distraction burglary in a dwelling (outcome only)","20"
"Hertfordshire","Attempted residential burglary ofÂ unconnected building","20"
"Dyfed-Powys","Distraction burglary in a dwelling (outcome only)","20"
"Leicestershire","Aggravated burglary - residential (home)","20"
"Durham","Distraction burglary in a dwelling","20"
"Thames Valley","Aggravated burglary in a dwelling","19"
"Cleveland","Attempted distraction burglary in a dwelling (outcome only)","19"
"South Yorkshire","Aggravated burglary - residential (home)","19"
"Essex","Aggravated burglary in a building other than a dwelling(outcome only)","19"
"Gwent","Distraction burglary in a dwelling","19"
"Surrey","Attempted distraction burglary in a dwelling (outcome only)","19"
"Merseyside","Distraction burglary in a dwelling","19"
"Hertfordshire","Aggravated Burglary Business and Community","18"
"Bedfordshire","Aggravated burglary in a dwelling","18"
"Leicestershire","Attempted distraction burglary in a dwelling (outcome only)","18"
"Surrey","Aggravated burglary in a building other than a dwelling(outcome only)","18"
"London, City of","Attempted Burglary Residential","18"
"British Transport Police","Dishonest use of electricity","18"
"Kent","Aggravated burglary in a dwelling","18"
"Suffolk","Aggravated Burglary Business and Community","18"
"West Midlands","Aggravated burglary in a building other than a dwelling(outcome only)","18"
"Nottinghamshire","Aggravated burglary in a dwelling","18"
"Merseyside","Attempted distraction burglary in a dwelling (outcome only)","18"
"Dyfed-Powys","Distraction Burglary Residential","18"
"West Mercia","Aggravated burglary - residential (home)","17"
"Sussex","Aggravated burglary in a building other than a dwelling(outcome only)","17"
"Wiltshire","Distraction burglary in a dwelling","17"
"Sussex","Aggravated burglary - residential (home)","17"
"Cleveland","Attempted Distraction Burglary Residential","17"
"Dorset","Aggravated Burglary Business and Community","16"
"Devon and Cornwall","Attempted residential burglary ofÂ unconnected building","16"
"Bedfordshire","Attempted Distraction Burglary Residential","16"
"Cheshire","Aggravated burglary in a building other than a dwelling(outcome only)","16"
"Northumbria","Aggravated Burglary Business and Community","16"
"North Wales","Distraction burglary in a dwelling","16"
"Gwent","Aggravated burglary in a dwelling","16"
"London, City of","Attempted burglary in a dwelling (outcome only)","16"
"Staffordshire","Aggravated Burglary Business and Community","16"
"Sussex","Attempted distraction burglary in a dwelling (outcome only)","16"
"Hampshire","Aggravated burglary - residential (home)","16"
"Warwickshire","Distraction burglary - residential (home)","16"
"Leicestershire","Attempted residential burglary ofÂ unconnected building","15"
"British Transport Police","Theft of mail","15"
"Cheshire","Attempted residential burglary ofÂ unconnected building","15"
"Kent","Aggravated burglary in a building other than a dwelling(outcome only)","15"
"Kent","Attempted distraction burglary in a dwelling (outcome only)","15"
"Cleveland","Aggravated burglary in a dwelling","15"
"Wiltshire","Attempted residential burglary ofÂ unconnected building","15"
"Wiltshire","Aggravated burglary in a dwelling","15"
"West Midlands","Attempted distraction burglary in a dwelling","15"
"Warwickshire","Aggravated burglary in a dwelling","15"
