"forcename","offencedescription","totalviolentoffenses"
"North Yorkshire","Attempted murder","60"
"North Yorkshire","Assaults on emergency workers (other than constables)","51"
"North Yorkshire","Endangering life","47"
"North Yorkshire","Conspiracy to murder","8"
"North Yorkshire","Racially or religiously aggravated harassment","6"
"North Yorkshire","Causing or allowing death of child or vulnerable person","5"
"North Yorkshire","Causing death by dangerous driving","1"
"North Yorkshire","Procuring illegal abortion","1"
"North Yorkshire","Causing death by aggravated vehicle taking","1"
"North Yorkshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"North Yorkshire","Causing death by driving: unlicensed drivers etc.","0"
"North Yorkshire","Intentional destruction of a viable unborn child","0"
"North Yorkshire","Poisoning or female genital mutilation (outcomes only)","0"
"North Yorkshire","Use of substance or object to endanger life (outcomes only)","0"
"North Yorkshire","Causing death by careless driving under influence of drink or drugs","0"
"North Yorkshire","Actually bodily harm and other injury(outcomes only)","0"
"North Yorkshire","Cruelty to and neglect of children (outcomes only)","0"
"North Yorkshire","Abandoning child under two years (outcomes only)","0"
"North Yorkshire","Possession of items to endanger life(outcomes only)","0"
"North Yorkshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"North Yorkshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"North Yorkshire","Endangering life at sea (outcomes only)","0"
"North Yorkshire","Endangering railway passengers (outcomes only)","0"
"North Yorkshire","Causing death by careless or inconsiderate driving","0"
"North Yorkshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Northamptonshire","Assault without injury","72780"
"Northamptonshire","Assault with injury","66047"
"Northamptonshire","Cruelty to children/young persons","5126"
"Northamptonshire","Assault without injury on a constable","3719"
"Northamptonshire","Assault with intent to cause serious harm","3655"
"Northamptonshire","Threats to kill","2896"
"Northamptonshire","Kidnapping","1154"
"Northamptonshire","Racially or religiously aggravated assault without injury","1053"
"Northamptonshire","Assault with injury on a constable","907"
"Northamptonshire","Modern slavery","614"
"Northamptonshire","Racially or religiously aggravated assault with injury","510"
"Northamptonshire","Harassment","400"
"Northamptonshire","Endangering life","236"
"Northamptonshire","Assaults on emergency workers (other than constables)","206"
"Northamptonshire","Child abduction","173"
"Northamptonshire","Attempted murder","138"
"Northamptonshire","Conspiracy to murder","19"
"Northamptonshire","Racially or religiously aggravated harassment","9"
"Northamptonshire","Causing death by dangerous driving","9"
"Northamptonshire","Causing or allowing death of child or vulnerable person","4"
"Northamptonshire","Causing death by driving: unlicensed drivers etc.","2"
"Northamptonshire","Intentional destruction of a viable unborn child","2"
"Northamptonshire","Procuring illegal abortion","1"
"Northamptonshire","Causing death by careless or inconsiderate driving","1"
"Northamptonshire","Possession of items to endanger life(outcomes only)","0"
"Northamptonshire","Endangering railway passengers (outcomes only)","0"
"Northamptonshire","Endangering life at sea (outcomes only)","0"
"Northamptonshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Northamptonshire","Poisoning or female genital mutilation (outcomes only)","0"
"Northamptonshire","Use of substance or object to endanger life (outcomes only)","0"
"Northamptonshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Northamptonshire","Causing death by careless driving under influence of drink or drugs","0"
"Northamptonshire","Causing death by aggravated vehicle taking","0"
"Northamptonshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Northamptonshire","Actually bodily harm and other injury(outcomes only)","0"
"Northamptonshire","Cruelty to and neglect of children (outcomes only)","0"
"Northamptonshire","Abandoning child under two years (outcomes only)","0"
"Northamptonshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Northumbria","Assault with injury","123901"
"Northumbria","Assault without injury","121659"
"Northumbria","Assault with intent to cause serious harm","7793"
"Northumbria","Threats to kill","7292"
"Northumbria","Assault without injury on a constable","4959"
"Northumbria","Cruelty to children/young persons","3587"
"Northumbria","Racially or religiously aggravated assault without injury","1365"
"Northumbria","Assault with injury on a constable","1190"
"Northumbria","Kidnapping","748"
"Northumbria","Modern slavery","707"
"Northumbria","Harassment","660"
"Northumbria","Racially or religiously aggravated assault with injury","649"
"Northumbria","Endangering life","370"
"Northumbria","Child abduction","160"
"Northumbria","Attempted murder","107"
"Northumbria","Assaults on emergency workers (other than constables)","29"
"Northumbria","Racially or religiously aggravated harassment","14"
"Northumbria","Conspiracy to murder","8"
"Northumbria","Causing death by careless or inconsiderate driving","5"
"Northumbria","Causing or allowing death of child or vulnerable person","5"
"Northumbria","Intentional destruction of a viable unborn child","3"
"Northumbria","Procuring illegal abortion","3"
"Northumbria","Causing death by dangerous driving","1"
"Northumbria","Endangering railway passengers (outcomes only)","0"
"Northumbria","Endangering life at sea (outcomes only)","0"
"Northumbria","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Northumbria","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Northumbria","Poisoning or female genital mutilation (outcomes only)","0"
"Northumbria","Causing death by aggravated vehicle taking","0"
"Northumbria","Possession of items to endanger life(outcomes only)","0"
"Northumbria","Cruelty to and neglect of children (outcomes only)","0"
"Northumbria","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Northumbria","Actually bodily harm and other injury(outcomes only)","0"
"Northumbria","Abandoning child under two years (outcomes only)","0"
"Northumbria","Wounding or carrying out an act endangering life (outcomes only)","0"
"Northumbria","Causing death by driving: unlicensed drivers etc.","0"
"Northumbria","Causing death by careless driving under influence of drink or drugs","0"
"Northumbria","Use of substance or object to endanger life (outcomes only)","0"
"Nottinghamshire","Assault with injury","107995"
"Nottinghamshire","Assault without injury","81668"
"Nottinghamshire","Threats to kill","10114"
"Nottinghamshire","Assault with intent to cause serious harm","6557"
"Nottinghamshire","Assault without injury on a constable","3787"
"Nottinghamshire","Cruelty to children/young persons","2555"
"Nottinghamshire","Assault with injury on a constable","1160"
"Nottinghamshire","Racially or religiously aggravated assault without injury","868"
"Nottinghamshire","Kidnapping","868"
"Nottinghamshire","Modern slavery","659"
"Nottinghamshire","Harassment","617"
"Nottinghamshire","Endangering life","611"
"Nottinghamshire","Racially or religiously aggravated assault with injury","508"
"Nottinghamshire","Child abduction","230"
"Nottinghamshire","Attempted murder","115"
"Nottinghamshire","Conspiracy to murder","9"
"Nottinghamshire","Causing or allowing death of child or vulnerable person","5"
"Nottinghamshire","Racially or religiously aggravated harassment","4"
"Nottinghamshire","Causing death by careless or inconsiderate driving","3"
"Nottinghamshire","Causing death by careless driving under influence of drink or drugs","2"
"Nottinghamshire","Causing death by dangerous driving","2"
"Nottinghamshire","Procuring illegal abortion","1"
"Nottinghamshire","Poisoning or female genital mutilation (outcomes only)","0"
"Nottinghamshire","Cruelty to and neglect of children (outcomes only)","0"
"Nottinghamshire","Causing death by driving: unlicensed drivers etc.","0"
"Nottinghamshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Nottinghamshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Nottinghamshire","Use of substance or object to endanger life (outcomes only)","0"
"Nottinghamshire","Assaults on emergency workers (other than constables)","0"
"Nottinghamshire","Causing death by aggravated vehicle taking","0"
"Nottinghamshire","Abandoning child under two years (outcomes only)","0"
"Nottinghamshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Nottinghamshire","Endangering life at sea (outcomes only)","0"
"Nottinghamshire","Intentional destruction of a viable unborn child","0"
"Nottinghamshire","Endangering railway passengers (outcomes only)","0"
"Nottinghamshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Nottinghamshire","Possession of items to endanger life(outcomes only)","0"
"Nottinghamshire","Actually bodily harm and other injury(outcomes only)","0"
"South Wales","Assault with injury","111297"
"South Wales","Assault without injury","92661"
"South Wales","Assault with intent to cause serious harm","10526"
"South Wales","Assault without injury on a constable","3671"
"South Wales","Threats to kill","2804"
"South Wales","Assault with injury on a constable","1738"
"South Wales","Cruelty to children/young persons","1383"
"South Wales","Harassment","1164"
"South Wales","Racially or religiously aggravated assault without injury","1005"
"South Wales","Modern slavery","915"
"South Wales","Racially or religiously aggravated assault with injury","695"
"South Wales","Assaults on emergency workers (other than constables)","437"
"South Wales","Kidnapping","434"
"South Wales","Endangering life","156"
"South Wales","Attempted murder","126"
"South Wales","Child abduction","100"
"South Wales","Causing death by dangerous driving","10"
"South Wales","Causing or allowing death of child or vulnerable person","10"
"South Wales","Racially or religiously aggravated harassment","7"
"South Wales","Conspiracy to murder","5"
"South Wales","Causing death by careless or inconsiderate driving","3"
"South Wales","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"South Wales","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"South Wales","Poisoning or female genital mutilation (outcomes only)","0"
"South Wales","Use of substance or object to endanger life (outcomes only)","0"
"South Wales","Inflicting grievous bodily harm without intent (outcomes only)","0"
"South Wales","Actually bodily harm and other injury(outcomes only)","0"
"South Wales","Endangering railway passengers (outcomes only)","0"
"South Wales","Endangering life at sea (outcomes only)","0"
"South Wales","Possession of items to endanger life(outcomes only)","0"
"South Wales","Intentional destruction of a viable unborn child","0"
"South Wales","Causing death by driving: unlicensed drivers etc.","0"
"South Wales","Cruelty to and neglect of children (outcomes only)","0"
"South Wales","Wounding or carrying out an act endangering life (outcomes only)","0"
"South Wales","Procuring illegal abortion","0"
"South Wales","Causing death by aggravated vehicle taking","0"
"South Wales","Causing death by careless driving under influence of drink or drugs","0"
"South Wales","Abandoning child under two years (outcomes only)","0"
"South Yorkshire","Assault with injury","123805"
"South Yorkshire","Assault without injury","106527"
"South Yorkshire","Assault with intent to cause serious harm","13420"
"South Yorkshire","Threats to kill","9845"
"South Yorkshire","Cruelty to children/young persons","3929"
"South Yorkshire","Assault without injury on a constable","3622"
"South Yorkshire","Assault with injury on a constable","1607"
"South Yorkshire","Racially or religiously aggravated assault without injury","1566"
"South Yorkshire","Kidnapping","1522"
"South Yorkshire","Modern slavery","1018"
"South Yorkshire","Racially or religiously aggravated assault with injury","946"
"South Yorkshire","Harassment","755"
"South Yorkshire","Attempted murder","354"
"South Yorkshire","Endangering life","314"
"South Yorkshire","Child abduction","250"
"South Yorkshire","Assaults on emergency workers (other than constables)","157"
"South Yorkshire","Conspiracy to murder","29"
"South Yorkshire","Racially or religiously aggravated harassment","14"
"South Yorkshire","Causing or allowing death of child or vulnerable person","9"
"South Yorkshire","Causing death by dangerous driving","7"
"South Yorkshire","Causing death by careless or inconsiderate driving","5"
"South Yorkshire","Procuring illegal abortion","2"
"South Yorkshire","Causing death by aggravated vehicle taking","1"
"South Yorkshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"South Yorkshire","Causing death by driving: unlicensed drivers etc.","0"
"South Yorkshire","Intentional destruction of a viable unborn child","0"
"South Yorkshire","Endangering railway passengers (outcomes only)","0"
"South Yorkshire","Poisoning or female genital mutilation (outcomes only)","0"
"South Yorkshire","Cruelty to and neglect of children (outcomes only)","0"
"South Yorkshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"South Yorkshire","Actually bodily harm and other injury(outcomes only)","0"
"South Yorkshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"South Yorkshire","Abandoning child under two years (outcomes only)","0"
"South Yorkshire","Endangering life at sea (outcomes only)","0"
"South Yorkshire","Use of substance or object to endanger life (outcomes only)","0"
"South Yorkshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"South Yorkshire","Possession of items to endanger life(outcomes only)","0"
"South Yorkshire","Causing death by careless driving under influence of drink or drugs","0"
"Staffordshire","Assault with injury","98722"
"Staffordshire","Assault without injury","91232"
"Staffordshire","Threats to kill","5578"
"Staffordshire","Assault with intent to cause serious harm","5340"
"Staffordshire","Assault without injury on a constable","3505"
"Staffordshire","Racially or religiously aggravated assault without injury","1212"
"Staffordshire","Harassment","1174"
"Staffordshire","Assault with injury on a constable","1167"
"Staffordshire","Cruelty to children/young persons","1147"
"Staffordshire","Kidnapping","788"
"Staffordshire","Modern slavery","611"
"Staffordshire","Racially or religiously aggravated assault with injury","610"
"Staffordshire","Assaults on emergency workers (other than constables)","327"
"Staffordshire","Attempted murder","171"
"Staffordshire","Child abduction","142"
"Staffordshire","Endangering life","93"
"Staffordshire","Racially or religiously aggravated harassment","85"
"Staffordshire","Conspiracy to murder","10"
"Staffordshire","Causing or allowing death of child or vulnerable person","6"
"Staffordshire","Causing death by careless or inconsiderate driving","4"
"Staffordshire","Causing death by dangerous driving","3"
"Staffordshire","Intentional destruction of a viable unborn child","1"
"Staffordshire","Causing death by driving: unlicensed drivers etc.","1"
"Staffordshire","Procuring illegal abortion","1"
"Staffordshire","Cruelty to and neglect of children (outcomes only)","0"
"Staffordshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Staffordshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Staffordshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Staffordshire","Endangering railway passengers (outcomes only)","0"
"Staffordshire","Endangering life at sea (outcomes only)","0"
"Staffordshire","Poisoning or female genital mutilation (outcomes only)","0"
"Staffordshire","Use of substance or object to endanger life (outcomes only)","0"
"Staffordshire","Abandoning child under two years (outcomes only)","0"
"Staffordshire","Actually bodily harm and other injury(outcomes only)","0"
"Staffordshire","Possession of items to endanger life(outcomes only)","0"
"Staffordshire","Causing death by careless driving under influence of drink or drugs","0"
"Staffordshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Staffordshire","Causing death by aggravated vehicle taking","0"
"Suffolk","Assault without injury","67881"
"Suffolk","Assault with injury","53111"
"Suffolk","Assault without injury on a constable","3517"
"Suffolk","Assault with intent to cause serious harm","2690"
"Suffolk","Threats to kill","2064"
"Suffolk","Cruelty to children/young persons","1423"
"Suffolk","Kidnapping","725"
"Suffolk","Assault with injury on a constable","600"
"Suffolk","Harassment","548"
"Suffolk","Racially or religiously aggravated assault without injury","497"
"Suffolk","Modern slavery","450"
"Suffolk","Racially or religiously aggravated assault with injury","193"
"Suffolk","Assaults on emergency workers (other than constables)","168"
"Suffolk","Endangering life","135"
"Suffolk","Child abduction","85"
"Suffolk","Attempted murder","67"
"Suffolk","Racially or religiously aggravated harassment","25"
"Suffolk","Conspiracy to murder","13"
"Suffolk","Causing or allowing death of child or vulnerable person","10"
"Suffolk","Causing death by dangerous driving","4"
"Suffolk","Intentional destruction of a viable unborn child","2"
"Suffolk","Causing death by careless or inconsiderate driving","1"
"Suffolk","Endangering railway passengers (outcomes only)","0"
"Suffolk","Poisoning or female genital mutilation (outcomes only)","0"
"Suffolk","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Suffolk","Causing death by aggravated vehicle taking","0"
"Suffolk","Causing death by careless driving under influence of drink or drugs","0"
"Suffolk","Possession of items to endanger life(outcomes only)","0"
"Suffolk","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Suffolk","Use of substance or object to endanger life (outcomes only)","0"
"Suffolk","Procuring illegal abortion","0"
"Suffolk","Causing death by driving: unlicensed drivers etc.","0"
"Suffolk","Endangering life at sea (outcomes only)","0"
"Suffolk","Actually bodily harm and other injury(outcomes only)","0"
"Suffolk","Abandoning child under two years (outcomes only)","0"
"Suffolk","Wounding or carrying out an act endangering life (outcomes only)","0"
"Suffolk","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Suffolk","Cruelty to and neglect of children (outcomes only)","0"
"Surrey","Assault without injury","82663"
"Surrey","Assault with injury","65299"
"Surrey","Threats to kill","6451"
"Surrey","Assault without injury on a constable","4230"
"Surrey","Assault with intent to cause serious harm","1334"
"Surrey","Racially or religiously aggravated assault without injury","1237"
"Surrey","Assault with injury on a constable","1129"
"Surrey","Harassment","928"
"Surrey","Cruelty to children/young persons","912"
"Surrey","Kidnapping","769"
"Surrey","Modern slavery","701"
"Surrey","Racially or religiously aggravated assault with injury","469"
"Surrey","Assaults on emergency workers (other than constables)","318"
"Surrey","Child abduction","165"
"Surrey","Endangering life","132"
"Surrey","Attempted murder","125"
"Surrey","Conspiracy to murder","23"
"Surrey","Causing death by careless or inconsiderate driving","7"
"Surrey","Racially or religiously aggravated harassment","5"
"Surrey","Procuring illegal abortion","2"
"Surrey","Causing or allowing death of child or vulnerable person","2"
"Surrey","Intentional destruction of a viable unborn child","1"
"Surrey","Causing death by dangerous driving","1"
"Surrey","Actually bodily harm and other injury(outcomes only)","0"
"Surrey","Cruelty to and neglect of children (outcomes only)","0"
"Surrey","Causing death by aggravated vehicle taking","0"
"Surrey","Endangering railway passengers (outcomes only)","0"
"Surrey","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Surrey","Abandoning child under two years (outcomes only)","0"
"Surrey","Wounding or carrying out an act endangering life (outcomes only)","0"
"Surrey","Causing death by driving: unlicensed drivers etc.","0"
"Surrey","Possession of items to endanger life(outcomes only)","0"
"Surrey","Use of substance or object to endanger life (outcomes only)","0"
"Surrey","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Surrey","Poisoning or female genital mutilation (outcomes only)","0"
"Surrey","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Surrey","Endangering life at sea (outcomes only)","0"
"Surrey","Causing death by careless driving under influence of drink or drugs","0"
"Sussex","Assault without injury","138177"
"Sussex","Assault with injury","125816"
"Sussex","Assault without injury on a constable","8665"
"Sussex","Threats to kill","7040"
"Sussex","Assault with intent to cause serious harm","5040"
"Sussex","Assault with injury on a constable","1856"
"Sussex","Racially or religiously aggravated assault without injury","1584"
"Sussex","Cruelty to children/young persons","1429"
"Sussex","Modern slavery","1212"
"Sussex","Harassment","944"
"Sussex","Kidnapping","803"
"Sussex","Racially or religiously aggravated assault with injury","727"
"Sussex","Child abduction","292"
"Sussex","Assaults on emergency workers (other than constables)","196"
"Sussex","Endangering life","158"
"Sussex","Attempted murder","121"
"Sussex","Causing or allowing death of child or vulnerable person","13"
"Sussex","Conspiracy to murder","11"
"Sussex","Racially or religiously aggravated harassment","9"
"Sussex","Causing death by careless or inconsiderate driving","8"
"Sussex","Causing death by dangerous driving","3"
"Sussex","Intentional destruction of a viable unborn child","1"
"Sussex","Procuring illegal abortion","0"
"Sussex","Causing death by aggravated vehicle taking","0"
"Sussex","Cruelty to and neglect of children (outcomes only)","0"
"Sussex","Endangering railway passengers (outcomes only)","0"
"Sussex","Endangering life at sea (outcomes only)","0"
"Sussex","Causing death by careless driving under influence of drink or drugs","0"
"Sussex","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Sussex","Poisoning or female genital mutilation (outcomes only)","0"
"Sussex","Wounding or carrying out an act endangering life (outcomes only)","0"
"Sussex","Possession of items to endanger life(outcomes only)","0"
"Sussex","Actually bodily harm and other injury(outcomes only)","0"
"Sussex","Causing death by driving: unlicensed drivers etc.","0"
"Sussex","Use of substance or object to endanger life (outcomes only)","0"
"Sussex","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Sussex","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Sussex","Abandoning child under two years (outcomes only)","0"
"Thames Valley","Assault without injury","182235"
"Thames Valley","Assault with injury","143932"
"Thames Valley","Assault without injury on a constable","8711"
"Thames Valley","Threats to kill","7350"
"Thames Valley","Assault with intent to cause serious harm","3168"
"Thames Valley","Modern slavery","2008"
"Thames Valley","Racially or religiously aggravated assault without injury","1966"
"Thames Valley","Harassment","1771"
"Thames Valley","Cruelty to children/young persons","1559"
"Thames Valley","Kidnapping","1405"
"Thames Valley","Assault with injury on a constable","1332"
"Thames Valley","Racially or religiously aggravated assault with injury","696"
"Thames Valley","Assaults on emergency workers (other than constables)","394"
"Thames Valley","Child abduction","394"
"Thames Valley","Endangering life","295"
"Thames Valley","Attempted murder","193"
"Thames Valley","Conspiracy to murder","37"
"Thames Valley","Racially or religiously aggravated harassment","35"
"Thames Valley","Causing death by dangerous driving","10"
"Thames Valley","Causing death by careless or inconsiderate driving","10"
"Thames Valley","Causing or allowing death of child or vulnerable person","9"
"Thames Valley","Procuring illegal abortion","5"
"Thames Valley","Intentional destruction of a viable unborn child","3"
"Thames Valley","Use of substance or object to endanger life (outcomes only)","0"
"Thames Valley","Endangering life at sea (outcomes only)","0"
"Thames Valley","Actually bodily harm and other injury(outcomes only)","0"
"Thames Valley","Wounding or carrying out an act endangering life (outcomes only)","0"
"Thames Valley","Causing death by careless driving under influence of drink or drugs","0"
"Thames Valley","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Thames Valley","Possession of items to endanger life(outcomes only)","0"
"Thames Valley","Poisoning or female genital mutilation (outcomes only)","0"
"Thames Valley","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Thames Valley","Endangering railway passengers (outcomes only)","0"
"Thames Valley","Abandoning child under two years (outcomes only)","0"
"Thames Valley","Causing death by aggravated vehicle taking","0"
"Thames Valley","Causing death by driving: unlicensed drivers etc.","0"
"Thames Valley","Cruelty to and neglect of children (outcomes only)","0"
"Thames Valley","Inflicting grievous bodily harm without intent (outcomes only)","0"
"Warwickshire","Assault without injury","41925"
"Warwickshire","Assault with injury","40234"
"Warwickshire","Assault with intent to cause serious harm","2937"
"Warwickshire","Cruelty to children/young persons","1679"
"Warwickshire","Assault without injury on a constable","1527"
"Warwickshire","Threats to kill","1323"
"Warwickshire","Modern slavery","527"
"Warwickshire","Assault with injury on a constable","525"
"Warwickshire","Kidnapping","488"
"Warwickshire","Racially or religiously aggravated assault without injury","471"
"Warwickshire","Harassment","334"
"Warwickshire","Racially or religiously aggravated assault with injury","246"
"Warwickshire","Child abduction","85"
"Warwickshire","Endangering life","80"
"Warwickshire","Attempted murder","80"
"Warwickshire","Assaults on emergency workers (other than constables)","32"
"Warwickshire","Causing or allowing death of child or vulnerable person","12"
"Warwickshire","Conspiracy to murder","8"
"Warwickshire","Racially or religiously aggravated harassment","5"
"Warwickshire","Causing death by careless or inconsiderate driving","2"
"Warwickshire","Intentional destruction of a viable unborn child","1"
"Warwickshire","Possession of items to endanger life(outcomes only)","0"
"Warwickshire","Causing death by driving: unlicensed drivers etc.","0"
"Warwickshire","Causing death by aggravated vehicle taking","0"
"Warwickshire","Causing death by careless driving under influence of drink or drugs","0"
"Warwickshire","Procuring illegal abortion","0"
"Warwickshire","Poisoning or female genital mutilation (outcomes only)","0"
"Warwickshire","Actually bodily harm and other injury(outcomes only)","0"
"Warwickshire","Abandoning child under two years (outcomes only)","0"
"Warwickshire","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"Warwickshire","Wounding or carrying out an act endangering life (outcomes only)","0"
"Warwickshire","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"Warwickshire","Causing death by dangerous driving","0"
"Warwickshire","Use of substance or object to endanger life (outcomes only)","0"
"Warwickshire","Cruelty to and neglect of children (outcomes only)","0"
"Warwickshire","Endangering railway passengers (outcomes only)","0"
"Warwickshire","Endangering life at sea (outcomes only)","0"
"Warwickshire","Inflicting grievous bodily harm without intent (outcomes only)","0"
"West Mercia","Assault with injury","97509"
"West Mercia","Assault without injury","95761"
"West Mercia","Assault with intent to cause serious harm","6003"
"West Mercia","Threats to kill","4806"
"West Mercia","Assault without injury on a constable","3865"
"West Mercia","Cruelty to children/young persons","3797"
"West Mercia","Harassment","1434"
"West Mercia","Assault with injury on a constable","1247"
"West Mercia","Racially or religiously aggravated assault without injury","886"
"West Mercia","Kidnapping","795"
"West Mercia","Modern slavery","775"
"West Mercia","Racially or religiously aggravated assault with injury","544"
"West Mercia","Child abduction","268"
"West Mercia","Attempted murder","175"
"West Mercia","Assaults on emergency workers (other than constables)","167"
"West Mercia","Endangering life","144"
"West Mercia","Racially or religiously aggravated harassment","29"
"West Mercia","Conspiracy to murder","25"
"West Mercia","Causing or allowing death of child or vulnerable person","20"
"West Mercia","Causing death by dangerous driving","5"
"West Mercia","Intentional destruction of a viable unborn child","3"
"West Mercia","Procuring illegal abortion","1"
"West Mercia","Abandoning child under two years (outcomes only)","0"
"West Mercia","Causing death by careless or inconsiderate driving","0"
"West Mercia","Cruelty to and neglect of children (outcomes only)","0"
"West Mercia","Endangering life at sea (outcomes only)","0"
"West Mercia","Possession of items to endanger life(outcomes only)","0"
"West Mercia","Actually bodily harm and other injury(outcomes only)","0"
"West Mercia","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"West Mercia","Inflicting grievous bodily harm without intent (outcomes only)","0"
"West Mercia","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"West Mercia","Causing death by careless driving under influence of drink or drugs","0"
"West Mercia","Causing death by aggravated vehicle taking","0"
"West Mercia","Endangering railway passengers (outcomes only)","0"
"West Mercia","Wounding or carrying out an act endangering life (outcomes only)","0"
"West Mercia","Causing death by driving: unlicensed drivers etc.","0"
"West Mercia","Poisoning or female genital mutilation (outcomes only)","0"
"West Mercia","Use of substance or object to endanger life (outcomes only)","0"
"West Midlands","Assault with injury","282368"
"West Midlands","Assault without injury","220834"
"West Midlands","Cruelty to children/young persons","56492"
"West Midlands","Assault with intent to cause serious harm","29217"
"West Midlands","Threats to kill","23444"
"West Midlands","Assault without injury on a constable","8211"
"West Midlands","Racially or religiously aggravated assault without injury","5826"
"West Midlands","Modern slavery","4628"
"West Midlands","Assault with injury on a constable","4138"
"West Midlands","Kidnapping","4133"
"West Midlands","Racially or religiously aggravated assault with injury","3847"
"West Midlands","Harassment","2890"
"West Midlands","Child abduction","1016"
"West Midlands","Attempted murder","1013"
"West Midlands","Endangering life","803"
"West Midlands","Assaults on emergency workers (other than constables)","755"
"West Midlands","Racially or religiously aggravated harassment","185"
"West Midlands","Causing or allowing death of child or vulnerable person","35"
"West Midlands","Conspiracy to murder","31"
"West Midlands","Causing death by dangerous driving","8"
"West Midlands","Procuring illegal abortion","6"
"West Midlands","Intentional destruction of a viable unborn child","6"
"West Midlands","Causing death by careless or inconsiderate driving","1"
"West Midlands","Causing death by aggravated vehicle taking","1"
"West Midlands","Causing death by careless driving under influence of drink or drugs","0"
"West Midlands","Racially or religiously aggravated inflicting grievous bodily harm without intent (outcomes only)","0"
"West Midlands","Actually bodily harm and other injury(outcomes only)","0"
"West Midlands","Possession of items to endanger life(outcomes only)","0"
"West Midlands","Inflicting grievous bodily harm without intent (outcomes only)","0"
"West Midlands","Poisoning or female genital mutilation (outcomes only)","0"
"West Midlands","Causing death by driving: unlicensed drivers etc.","0"
"West Midlands","Endangering life at sea (outcomes only)","0"
"West Midlands","Racially or religiously aggravated actual bodily harm and other injury (outcomes only)","0"
"West Midlands","Endangering railway passengers (outcomes only)","0"
"West Midlands","Use of substance or object to endanger life (outcomes only)","0"
"West Midlands","Cruelty to and neglect of children (outcomes only)","0"
"West Midlands","Wounding or carrying out an act endangering life (outcomes only)","0"
"West Midlands","Abandoning child under two years (outcomes only)","0"
"West Yorkshire","Assault without injury","277321"
"West Yorkshire","Assault with injury","228437"
"West Yorkshire","Threats to kill","31302"
"West Yorkshire","Assault with intent to cause serious harm","15764"
"West Yorkshire","Assault without injury on a constable","12813"
"West Yorkshire","Cruelty to children/young persons","10417"
"West Yorkshire","Racially or religiously aggravated assault without injury","5285"
"West Yorkshire","Modern slavery","3255"
"West Yorkshire","Kidnapping","3100"
"West Yorkshire","Assault with injury on a constable","2732"
"West Yorkshire","Racially or religiously aggravated assault with injury","2115"
"West Yorkshire","Harassment","1299"
"West Yorkshire","Endangering life","1240"
"West Yorkshire","Child abduction","536"
"West Yorkshire","Attempted murder","340"
"West Yorkshire","Assaults on emergency workers (other than constables)","285"
"West Yorkshire","Racially or religiously aggravated harassment","66"
"West Yorkshire","Conspiracy to murder","60"
"West Yorkshire","Causing or allowing death of child or vulnerable person","46"
"West Yorkshire","Causing death by dangerous driving","9"
